id,committee_id,member_id,role
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0001,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380016,Chairman
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0002,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380009,Vice Chairman
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0003,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380012,First Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0004,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380013,Second Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0005,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380010,Third Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0006,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380017,Chairman
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0007,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380018,Vice Chairman
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0008,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380012,First Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0009,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380015,Second Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0010,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380011,Third Member
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0011,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380012,Chairman
c2g3h4i5-b6c7-8d9e-0f1a-2b3c4d5e0012,b1f2e3d4-a5b6-7c8d-9e0f-1a2b3c4d0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380009,Vice Chairman
